,checking_status,duration,credit_history,purpose,credit_amount,savings_status,personal_status,age,class
119,0,12.0,1,4,2366.0,1,1,36.0,1
120,1,21.0,3,6,1835.0,2,0,25.0,0
121,3,24.0,1,9,3868.0,2,0,41.0,1
122,3,12.0,3,3,1768.0,2,3,24.0,1
123,2,10.0,1,4,781.0,2,3,63.0,1
124,0,18.0,3,3,1924.0,4,0,27.0,0
125,1,12.0,1,4,2121.0,2,3,30.0,1
126,1,12.0,3,6,701.0,2,2,40.0,1
127,0,12.0,3,7,639.0,2,3,30.0,0
128,0,12.0,1,9,1860.0,2,3,34.0,1
129,1,12.0,1,4,3499.0,2,0,29.0,0
130,0,48.0,3,4,8487.0,4,0,24.0,1
131,1,36.0,2,2,6887.0,2,3,29.0,0
132,3,15.0,3,3,2708.0,2,3,27.0,1
133,3,18.0,3,3,1984.0,2,3,47.0,1
134,3,60.0,3,6,10144.0,0,0,21.0,1
135,3,12.0,1,6,1240.0,4,0,38.0,1
136,3,27.0,2,9,8613.0,3,3,27.0,1
137,0,12.0,3,6,766.0,1,3,66.0,0
138,0,15.0,1,6,2728.0,4,3,35.0,1
139,2,12.0,3,6,1881.0,2,0,44.0,1
140,2,6.0,3,4,709.0,3,2,27.0,1
141,0,36.0,3,6,4795.0,2,0,30.0,1
142,1,27.0,3,6,3416.0,2,3,27.0,1
143,1,18.0,3,3,2462.0,2,3,22.0,0
144,3,21.0,1,3,2288.0,2,0,23.0,1
145,0,48.0,0,0,3566.0,0,3,30.0,1
146,1,6.0,1,4,860.0,2,0,39.0,1
147,3,12.0,1,4,682.0,0,0,51.0,1
148,1,36.0,1,3,5371.0,2,3,28.0,1
149,3,18.0,1,6,1582.0,3,3,46.0,1
150,3,6.0,3,6,1346.0,0,3,42.0,1
151,3,10.0,3,6,1924.0,2,3,38.0,1
152,2,36.0,3,6,5848.0,2,3,24.0,1
153,0,24.0,1,9,7758.0,3,0,29.0,1
154,0,24.0,2,0,6967.0,0,3,36.0,1
155,1,12.0,3,3,1282.0,2,0,20.0,0
156,1,9.0,1,7,1288.0,0,3,48.0,1
157,1,12.0,0,8,339.0,2,2,45.0,1
158,0,24.0,3,4,3512.0,0,3,38.0,1
159,3,6.0,1,6,1898.0,4,3,34.0,1
160,3,24.0,1,6,2872.0,0,3,36.0,1
161,3,18.0,1,4,1055.0,2,0,30.0,1
162,3,15.0,3,1,1262.0,1,3,36.0,1
163,0,10.0,3,4,7308.0,2,3,70.0,1
164,3,36.0,3,4,909.0,1,3,36.0,1
165,3,6.0,3,3,2978.0,1,3,32.0,1
166,1,18.0,3,3,1131.0,2,0,33.0,0
167,0,11.0,3,3,1577.0,3,0,20.0,1
168,3,24.0,3,3,3972.0,2,0,25.0,1
169,0,24.0,1,0,1935.0,2,1,31.0,0
170,1,15.0,4,4,950.0,2,3,33.0,0
171,3,12.0,3,3,763.0,2,0,26.0,1
172,0,24.0,2,3,2064.0,2,0,34.0,0
173,0,8.0,3,6,1414.0,2,3,33.0,1
174,1,21.0,2,2,3414.0,2,3,26.0,0
175,3,30.0,0,9,7485.0,4,0,53.0,0
176,1,12.0,3,3,2577.0,2,1,42.0,1
177,1,6.0,1,6,338.0,1,3,52.0,1
178,3,12.0,3,6,1963.0,2,3,31.0,1
179,1,21.0,1,4,571.0,2,3,65.0,1
180,3,36.0,2,0,9572.0,2,1,28.0,0
181,0,36.0,2,0,4455.0,2,1,30.0,0
182,1,21.0,0,4,1647.0,4,3,40.0,0
183,3,24.0,1,3,3777.0,3,3,50.0,1
184,0,18.0,1,4,884.0,2,3,36.0,0
185,3,15.0,1,6,1360.0,2,3,31.0,1
186,0,9.0,0,9,5129.0,2,0,74.0,0
187,0,16.0,1,4,1175.0,2,3,68.0,1
188,1,12.0,3,6,674.0,0,2,20.0,0
189,0,18.0,4,3,3244.0,2,0,33.0,1
190,3,24.0,3,0,4591.0,3,3,54.0,0
191,0,48.0,4,0,3844.0,0,3,34.0,0
192,0,27.0,3,0,3915.0,2,3,36.0,0
193,3,6.0,3,6,2108.0,2,2,29.0,1
194,0,45.0,3,6,3031.0,0,3,21.0,0
195,0,9.0,1,2,1501.0,2,0,34.0,0
196,3,6.0,1,6,1382.0,2,0,28.0,1
197,0,12.0,3,3,951.0,0,0,27.0,0
198,0,24.0,3,9,2760.0,4,3,36.0,1
199,0,18.0,2,3,4297.0,2,1,40.0,0
200,3,9.0,1,2,936.0,1,3,52.0,1
201,1,12.0,3,4,1168.0,2,2,27.0,1
202,3,27.0,2,0,5117.0,2,3,26.0,1
203,1,12.0,3,8,902.0,2,2,21.0,0
204,3,12.0,1,4,1495.0,2,3,38.0,1
205,1,30.0,1,9,10623.0,2,3,38.0,1
206,3,12.0,1,3,1935.0,2,3,43.0,1
207,0,12.0,1,1,1424.0,2,3,26.0,1
208,1,24.0,3,0,6568.0,2,2,21.0,1
209,3,12.0,3,9,1413.0,3,3,55.0,1
210,3,9.0,1,6,3074.0,4,3,33.0,1
211,3,36.0,3,6,3835.0,4,0,45.0,1
212,1,27.0,4,0,5293.0,2,3,50.0,0
213,2,30.0,2,0,1908.0,2,3,66.0,0
214,3,36.0,1,6,3342.0,4,3,51.0,1
215,0,6.0,1,8,932.0,4,0,39.0,1
216,1,18.0,4,0,3104.0,2,3,31.0,1
217,2,36.0,3,6,3913.0,2,3,23.0,1
218,1,24.0,3,3,3021.0,2,1,24.0,1
219,3,10.0,3,4,1364.0,2,0,64.0,1
220,0,12.0,3,6,625.0,2,2,26.0,1
221,1,12.0,3,2,1200.0,4,0,23.0,1
222,3,12.0,3,6,707.0,2,3,30.0,1
223,3,24.0,2,0,2978.0,4,3,32.0,1
224,3,15.0,3,9,4657.0,2,3,30.0,1
225,3,36.0,4,7,2613.0,2,3,27.0,1
226,0,48.0,3,6,10961.0,3,3,27.0,0
227,1,12.0,3,3,7865.0,2,3,53.0,0
228,3,9.0,3,6,1478.0,2,3,22.0,0
229,1,24.0,3,3,3149.0,2,3,22.0,1
230,2,36.0,3,6,4210.0,2,3,26.0,0
231,3,9.0,3,4,2507.0,1,3,51.0,1
232,3,12.0,3,6,2141.0,0,3,35.0,1
233,0,18.0,3,6,866.0,2,2,25.0,1
234,3,4.0,1,6,1544.0,2,3,42.0,1
235,1,24.0,3,6,1823.0,2,3,30.0,0
236,0,6.0,3,4,14555.0,4,3,23.0,0
237,0,21.0,3,0,2767.0,0,1,61.0,0
238,3,12.0,1,6,1291.0,2,0,35.0,1
239,1,30.0,3,6,2522.0,2,3,39.0,1
240,1,24.0,3,4,915.0,4,0,29.0,0
241,3,6.0,3,6,1595.0,2,3,51.0,1
242,1,48.0,4,9,4605.0,2,3,24.0,0
243,3,12.0,1,0,1185.0,2,0,27.0,1
244,3,12.0,0,8,3447.0,1,0,35.0,1
245,3,24.0,3,0,1258.0,2,3,25.0,1
246,3,12.0,1,6,717.0,2,3,52.0,1
247,3,6.0,4,4,1204.0,0,3,35.0,1
248,2,24.0,3,3,1925.0,2,3,26.0,1
249,3,18.0,3,6,433.0,2,0,22.0,0
250,1,6.0,1,4,666.0,3,0,39.0,1
251,2,12.0,3,3,2251.0,2,0,46.0,1
252,0,30.0,3,4,2150.0,2,0,24.0,0
253,3,24.0,2,3,4151.0,0,3,35.0,1
254,0,9.0,3,3,2030.0,4,3,24.0,1
255,0,60.0,2,6,7418.0,4,3,27.0,1
256,3,24.0,1,6,2684.0,2,3,35.0,1
257,1,12.0,0,6,2149.0,2,1,29.0,0
258,3,15.0,3,9,3812.0,0,0,23.0,1
259,3,11.0,1,6,1154.0,0,0,57.0,1
260,1,12.0,3,3,1657.0,2,3,27.0,1
261,1,24.0,3,6,1603.0,2,0,55.0,1
262,1,18.0,1,4,5302.0,2,3,36.0,1
263,3,12.0,1,2,2748.0,2,0,57.0,1
264,3,10.0,1,4,1231.0,2,3,32.0,1
265,0,15.0,3,6,802.0,2,3,37.0,0
266,3,36.0,1,0,6304.0,4,3,36.0,1
267,3,24.0,3,6,1533.0,2,0,38.0,1
268,1,14.0,3,4,8978.0,2,1,45.0,0
269,3,24.0,3,6,999.0,4,3,25.0,1
270,3,18.0,3,4,2662.0,4,3,32.0,1
271,3,12.0,1,3,1402.0,1,0,37.0,1
272,0,48.0,0,4,12169.0,4,3,36.0,1
273,0,48.0,3,6,3060.0,2,3,28.0,0
274,1,30.0,3,7,11998.0,2,1,34.0,0
275,3,9.0,3,6,2697.0,2,3,32.0,1
276,3,18.0,1,6,2404.0,2,0,26.0,1
277,1,12.0,3,3,1262.0,4,1,49.0,1
278,3,6.0,3,3,4611.0,2,0,32.0,0
279,3,24.0,3,6,1901.0,0,3,29.0,1
280,3,15.0,1,9,3368.0,3,3,23.0,1
281,3,12.0,3,3,1574.0,2,3,50.0,1
282,2,18.0,0,6,1445.0,4,3,49.0,1
283,3,15.0,1,3,1520.0,4,3,63.0,1
284,0,24.0,1,4,3878.0,0,1,37.0,1
285,1,47.0,3,4,10722.0,2,0,35.0,1
286,1,48.0,3,9,4788.0,2,3,26.0,1
287,0,48.0,2,5,7582.0,0,3,31.0,1
288,0,12.0,3,6,1092.0,2,0,49.0,1
289,1,24.0,2,6,1024.0,2,2,48.0,0
290,3,12.0,3,0,1076.0,2,2,26.0,1
291,0,36.0,3,9,9398.0,2,2,28.0,0
292,1,24.0,1,9,6419.0,2,0,44.0,1
293,2,42.0,1,9,4796.0,2,3,56.0,1
294,3,48.0,1,0,7629.0,4,1,46.0,1
295,0,48.0,3,3,9960.0,2,0,26.0,0
296,3,12.0,3,9,4675.0,4,0,20.0,1
297,3,10.0,3,4,1287.0,4,3,45.0,1
298,3,18.0,3,3,2515.0,2,3,43.0,1
299,0,21.0,1,3,2745.0,3,3,32.0,1
300,3,6.0,3,4,672.0,2,0,54.0,1
301,0,36.0,4,6,3804.0,2,0,42.0,0
302,2,24.0,1,4,1344.0,4,3,37.0,0
303,1,10.0,1,4,1038.0,2,3,49.0,1
304,3,48.0,1,4,10127.0,1,3,44.0,0
305,3,6.0,3,3,1543.0,3,1,33.0,1
306,3,30.0,3,9,4811.0,4,0,24.0,1
307,1,12.0,3,6,727.0,0,2,33.0,0
308,0,8.0,3,3,1237.0,2,0,24.0,0
309,0,9.0,3,4,276.0,2,2,22.0,1
310,0,48.0,3,5,5381.0,4,3,40.0,1
311,3,24.0,3,3,5511.0,0,3,25.0,1
312,2,24.0,3,3,3749.0,2,0,26.0,1
313,0,12.0,3,4,685.0,2,2,25.0,0
314,2,4.0,3,4,1494.0,4,3,29.0,1
315,1,36.0,0,3,2746.0,2,3,31.0,0
316,1,12.0,3,3,708.0,2,3,38.0,1
317,0,24.0,3,3,4351.0,4,0,48.0,1
318,3,12.0,1,2,701.0,2,3,32.0,1
319,1,15.0,2,3,3643.0,2,0,27.0,1
320,0,30.0,1,4,4249.0,2,2,28.0,0
321,1,24.0,3,6,1938.0,2,1,32.0,0
322,1,24.0,3,9,2910.0,2,3,34.0,1
323,1,18.0,3,3,2659.0,3,3,28.0,1
324,3,18.0,1,4,1028.0,2,0,36.0,1
325,1,8.0,1,4,3398.0,2,3,39.0,1
326,3,12.0,1,3,5801.0,4,3,49.0,1
327,3,24.0,3,4,1525.0,3,0,34.0,1
328,2,36.0,3,6,4473.0,2,3,31.0,1
329,0,6.0,3,6,1068.0,2,3,28.0,1
330,1,24.0,1,9,6615.0,2,3,75.0,1
331,3,18.0,1,2,1864.0,0,0,30.0,0
332,0,60.0,3,4,7408.0,0,0,24.0,0
333,3,48.0,1,9,11590.0,0,0,24.0,0
334,1,24.0,4,3,4110.0,2,3,23.0,0
335,1,6.0,1,3,3384.0,2,1,44.0,0
336,0,13.0,3,6,2101.0,2,0,23.0,1
337,1,15.0,3,1,1275.0,4,0,24.0,0
338,1,24.0,3,3,4169.0,2,3,28.0,1
339,0,10.0,3,3,1521.0,2,1,31.0,1
340,0,24.0,1,2,5743.0,2,0,24.0,1
341,1,21.0,3,3,3599.0,2,0,26.0,1
342,0,18.0,3,6,3213.0,1,2,25.0,1
343,0,18.0,3,0,4439.0,2,3,33.0,1
344,2,10.0,3,4,3949.0,2,3,37.0,1
345,3,15.0,1,6,1459.0,2,0,43.0,1
346,0,13.0,1,6,882.0,2,3,23.0,1
347,0,24.0,3,6,3758.0,1,0,23.0,1
348,3,6.0,2,0,1743.0,0,3,34.0,1
349,0,9.0,1,2,1136.0,3,3,32.0,0
350,3,9.0,3,1,1236.0,2,0,23.0,1
351,0,9.0,3,3,959.0,2,0,29.0,0
352,3,18.0,1,9,3229.0,4,3,38.0,1
353,1,12.0,4,6,6199.0,2,3,28.0,0
354,3,10.0,3,2,727.0,1,3,46.0,1
355,0,24.0,3,4,1246.0,2,3,23.0,0
356,3,12.0,1,6,2331.0,4,3,49.0,1
357,3,36.0,2,6,4463.0,2,3,26.0,0
358,3,12.0,3,6,776.0,2,2,28.0,1
359,1,30.0,3,3,2406.0,2,0,23.0,0
360,0,18.0,3,2,1239.0,4,3,61.0,1
361,2,12.0,3,6,3399.0,4,3,37.0,1
362,2,12.0,2,4,2247.0,2,0,36.0,1
363,3,6.0,3,3,1766.0,2,2,21.0,1
364,1,18.0,3,3,2473.0,2,3,25.0,0
365,3,12.0,3,0,1542.0,2,3,36.0,1
366,3,18.0,1,9,3850.0,2,3,27.0,1
367,1,18.0,3,3,3650.0,2,0,22.0,1
368,1,36.0,3,3,3446.0,2,3,42.0,0
369,0,18.0,3,3,3001.0,2,0,40.0,1
370,3,36.0,3,4,3079.0,4,3,36.0,1
371,3,18.0,1,6,6070.0,2,3,33.0,1
372,3,10.0,1,3,2146.0,2,0,23.0,1
373,3,60.0,1,4,13756.0,4,3,63.0,1
374,0,60.0,0,5,14782.0,0,0,60.0,0
375,1,48.0,0,0,7685.0,2,0,37.0,0
376,3,18.0,2,6,2320.0,2,2,34.0,1
377,3,7.0,2,6,846.0,4,3,36.0,1
378,0,36.0,3,4,14318.0,2,3,57.0,0
379,3,6.0,1,4,362.0,0,0,52.0,1
380,1,20.0,3,3,2212.0,4,3,39.0,1
381,0,18.0,3,9,12976.0,2,0,38.0,0
382,3,22.0,3,4,1283.0,4,0,25.0,1
383,2,12.0,3,4,1330.0,2,3,26.0,1
384,3,30.0,2,0,4272.0,0,3,26.0,1
385,3,18.0,1,6,2238.0,2,0,25.0,1
386,3,18.0,3,6,1126.0,4,0,21.0,1
387,0,18.0,1,3,7374.0,2,3,40.0,1
388,0,15.0,1,0,2326.0,1,3,27.0,1
389,3,9.0,3,0,1449.0,2,0,27.0,1
390,3,18.0,3,4,1820.0,2,2,30.0,1
391,0,12.0,3,3,983.0,3,0,19.0,1
392,1,36.0,3,4,3249.0,2,3,39.0,1
393,1,6.0,1,6,1957.0,2,0,31.0,1
394,3,9.0,1,3,2406.0,2,3,31.0,1
395,0,39.0,2,2,11760.0,0,3,32.0,1
396,1,12.0,3,3,2578.0,2,0,55.0,1
397,1,36.0,1,3,2348.0,2,2,46.0,1
398,0,12.0,3,4,1223.0,2,1,46.0,0
399,3,24.0,1,6,1516.0,3,0,43.0,1
400,3,18.0,3,6,1473.0,2,2,39.0,1
401,0,18.0,1,0,1887.0,4,2,28.0,1
402,3,24.0,2,0,8648.0,2,3,27.0,0
403,3,14.0,2,4,802.0,2,3,27.0,1
404,0,18.0,2,4,2899.0,4,3,43.0,1
405,0,24.0,3,6,2039.0,2,2,22.0,0
406,3,24.0,1,9,2197.0,4,3,43.0,1
407,1,15.0,3,6,1053.0,2,2,27.0,1
408,3,24.0,3,6,3235.0,1,1,26.0,1
409,2,12.0,1,4,939.0,1,2,28.0,0
410,0,24.0,3,6,1967.0,2,0,20.0,1
411,3,33.0,1,9,7253.0,2,3,35.0,1
412,3,12.0,1,0,2292.0,2,3,42.0,0
413,3,10.0,3,4,1597.0,1,3,40.0,1
414,1,24.0,3,4,1381.0,4,0,35.0,0
415,3,36.0,1,9,5842.0,2,3,35.0,1
416,1,12.0,3,4,2579.0,2,3,33.0,0
417,1,18.0,2,2,8471.0,4,0,23.0,1
418,3,21.0,3,4,2782.0,1,0,31.0,1
419,0,18.0,3,4,1042.0,4,0,33.0,0
420,3,15.0,3,4,3186.0,3,0,20.0,1
421,0,12.0,3,9,2028.0,4,3,30.0,1
422,0,12.0,1,4,958.0,2,3,47.0,1
423,3,21.0,2,3,1591.0,0,3,34.0,1
424,0,12.0,3,3,2762.0,4,0,25.0,0
425,0,18.0,3,9,2779.0,2,2,21.0,1
426,3,28.0,1,6,2743.0,2,3,29.0,1
427,3,18.0,1,6,1149.0,3,3,46.0,1
428,3,9.0,3,3,1313.0,2,3,20.0,1
429,1,18.0,1,7,1190.0,2,0,55.0,0
430,3,5.0,3,0,3448.0,2,3,74.0,1
431,0,24.0,3,5,11328.0,2,3,29.0,0
432,1,6.0,1,3,1872.0,2,3,36.0,1
433,3,24.0,1,7,2058.0,2,1,33.0,1
434,1,9.0,3,3,2136.0,2,3,25.0,1
435,0,12.0,3,6,1484.0,4,2,25.0,0
436,3,6.0,3,7,660.0,1,2,23.0,1
437,3,24.0,1,4,1287.0,3,0,37.0,1
438,1,42.0,1,7,3394.0,2,3,65.0,1
439,2,12.0,0,0,609.0,2,0,26.0,0
440,3,12.0,3,4,1884.0,2,3,39.0,1
441,1,12.0,3,3,1620.0,2,0,30.0,1
442,0,20.0,2,5,2629.0,2,3,29.0,1
443,3,12.0,3,2,719.0,2,3,41.0,0
444,0,48.0,1,3,5096.0,2,0,30.0,0
445,3,9.0,1,2,1244.0,4,0,41.0,1
446,1,36.0,3,4,1842.0,2,0,34.0,0
447,0,7.0,3,6,2576.0,2,3,35.0,1
448,2,12.0,3,3,1424.0,4,0,55.0,1
449,0,15.0,2,7,1512.0,3,2,61.0,0
450,3,36.0,1,9,11054.0,4,3,30.0,1
451,3,6.0,3,6,518.0,2,0,29.0,1
452,3,12.0,4,3,2759.0,2,3,34.0,1
453,3,24.0,3,9,2670.0,2,3,35.0,1
454,1,24.0,3,4,4817.0,2,3,31.0,0
455,3,24.0,3,9,2679.0,2,0,29.0,1
456,1,11.0,1,4,3905.0,2,3,36.0,1
457,1,12.0,3,9,3386.0,2,3,35.0,0
458,1,6.0,3,1,343.0,2,0,27.0,1
459,3,18.0,3,6,4594.0,2,3,32.0,1
460,1,36.0,3,3,3620.0,2,3,37.0,1
461,1,15.0,3,4,1721.0,2,3,36.0,1
462,0,12.0,3,3,3017.0,2,0,34.0,1
463,0,12.0,3,8,754.0,4,3,38.0,1
464,3,18.0,3,0,1950.0,2,3,34.0,1
465,1,24.0,3,9,2924.0,2,3,63.0,1
466,1,24.0,2,6,1659.0,2,0,29.0,0
467,3,48.0,2,6,7238.0,4,3,32.0,1
468,3,33.0,2,0,2764.0,2,0,26.0,1
469,3,24.0,2,9,4679.0,2,3,35.0,1
470,0,24.0,3,6,3092.0,0,2,22.0,0
471,1,6.0,3,2,448.0,2,0,23.0,0
472,1,9.0,3,4,654.0,2,3,28.0,0
473,3,6.0,3,8,1238.0,4,3,36.0,1
474,0,18.0,1,6,1245.0,2,2,33.0,0
475,1,18.0,4,3,3114.0,2,0,26.0,0
476,3,39.0,3,9,2569.0,1,3,24.0,1
477,2,24.0,3,6,5152.0,2,3,25.0,1
478,0,12.0,3,0,1037.0,0,3,39.0,1
479,1,15.0,1,3,1478.0,2,3,44.0,1
480,0,12.0,1,6,3573.0,2,0,23.0,1
481,0,24.0,3,4,1201.0,2,3,26.0,1
482,1,30.0,3,3,3622.0,3,0,57.0,1
483,3,15.0,2,3,960.0,3,0,30.0,1
484,3,12.0,1,4,1163.0,1,3,44.0,1
485,0,6.0,2,4,1209.0,2,3,47.0,0
486,3,12.0,3,6,3077.0,2,3,52.0,1
487,3,24.0,3,4,3757.0,2,0,62.0,1
488,3,10.0,3,4,1418.0,0,3,35.0,1
489,3,6.0,3,4,3518.0,2,3,26.0,1
490,3,12.0,1,6,1934.0,2,3,26.0,1
491,0,27.0,4,0,8318.0,2,0,42.0,0
492,3,6.0,1,6,1237.0,0,0,27.0,1
493,0,6.0,3,6,368.0,4,3,38.0,1
494,1,12.0,1,4,2122.0,2,3,39.0,1
495,1,24.0,3,3,2996.0,4,2,20.0,0
496,0,36.0,3,3,9034.0,0,3,29.0,0
497,3,24.0,1,3,1585.0,2,3,40.0,1
498,0,18.0,3,6,1301.0,2,2,32.0,1
499,2,6.0,1,4,1323.0,0,1,28.0,1
500,1,24.0,3,4,3123.0,2,0,27.0,0
501,1,36.0,3,9,5493.0,2,3,42.0,1
502,2,9.0,3,6,1126.0,0,1,49.0,1
503,0,24.0,1,6,1216.0,0,3,38.0,0
504,1,24.0,3,4,1207.0,2,0,24.0,0
505,3,10.0,3,4,1309.0,4,3,27.0,0
506,2,15.0,1,9,2360.0,1,3,36.0,1
507,0,15.0,0,4,6850.0,0,3,34.0,0
508,3,24.0,3,6,1413.0,2,2,28.0,1
509,3,39.0,3,9,8588.0,0,3,45.0,1
510,1,12.0,3,4,759.0,2,3,26.0,0
511,3,36.0,3,9,4686.0,2,3,32.0,1
512,2,15.0,3,0,2687.0,2,3,26.0,1
513,0,12.0,2,6,585.0,2,2,20.0,1
514,3,24.0,3,4,2255.0,4,3,54.0,1
515,1,6.0,1,4,609.0,2,0,37.0,1
516,1,6.0,1,4,1361.0,2,3,40.0,1
517,3,36.0,1,3,7127.0,2,0,23.0,0
