,MathScore,ReadingScore,WritingScore,Gender_female,Gender_male,EthnicGroup_group A,EthnicGroup_group B,EthnicGroup_group C,EthnicGroup_group D,EthnicGroup_group E,EthnicGroup_unknown,LunchType_free/reduced,LunchType_standard
1,88,96,98,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,93,100,100,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,91,78,80,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,79,85,80,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,53,71,67,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,71,64,57,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,68,78,82,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,72,73,68,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,50,49,45,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,92,89,89,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,58,64,68,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,79,74,74,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,87,96,96,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,71,60,51,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,67,65,65,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,41,54,47,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,73,72,81,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,71,95,93,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,80,89,84,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,60,66,69,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,70,86,83,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,89,79,86,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,69,51,56,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,74,77,79,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,88,90,93,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,44,58,58,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,50,57,52,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,59,58,52,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,71,79,74,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,46,53,46,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,87,93,91,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,60,73,66,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,92,94,98,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,82,78,67,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,52,46,51,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,83,81,80,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,56,59,56,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,65,64,69,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,72,68,68,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,58,70,70,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,70,61,61,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,47,44,42,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,68,63,62,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,73,59,65,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,54,50,49,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,67,80,85,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,49,55,58,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,73,73,78,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,55,57,53,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,72,69,73,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,100,91,86,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,66,60,64,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,68,74,76,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,77,70,68,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,42,55,54,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,69,87,87,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,56,49,48,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,71,88,87,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,90,69,72,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,76,76,72,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,65,79,72,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3,45,56,42,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,74,57,63,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,42,59,66,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,77,77,81,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,59,65,70,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,66,65,55,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,62,78,77,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,70,66,59,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,51,64,64,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,81,84,74,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,68,78,77,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,55,65,67,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,33,53,56,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,70,82,79,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,63,59,58,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,46,46,47,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,48,55,62,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,31,45,43,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,98,92,95,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,62,59,62,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,66,65,64,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,97,90,92,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,75,81,79,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,64,71,76,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,58,56,51,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,71,59,62,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,96,91,88,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,89,95,91,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,53,56,54,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,61,74,70,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4,76,78,75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,64,52,54,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,65,84,78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,59,53,53,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,47,43,39,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,35,44,30,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,69,69,76,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,79,61,59,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,97,95,96,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,86,83,85,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,52,64,56,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,76,65,72,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,73,73,78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,53,51,50,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,53,61,68,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,60,78,80,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,83,83,93,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,60,62,57,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,53,64,62,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,55,60,61,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,58,72,75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,66,89,80,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,56,45,49,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,64,56,56,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,89,89,92,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,99,99,97,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,78,100,92,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,75,74,78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,77,81,81,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,72,73,67,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,62,65,62,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5,73,84,79,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,60,65,69,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,85,88,84,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,84,92,88,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,60,61,62,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,74,71,60,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,48,65,63,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,63,63,59,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,84,71,72,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,58,64,57,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,93,76,82,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,53,63,57,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,63,64,66,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,58,66,60,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,87,100,100,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,79,62,67,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,75,92,88,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,70,79,78,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,48,37,35,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,70,62,56,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,75,63,61,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,78,85,91,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,71,77,89,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,31,33,26,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,55,68,64,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,92,95,88,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,54,55,50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,65,78,76,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,81,79,71,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,93,100,100,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,85,93,89,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,63,72,73,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,70,68,59,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,58,55,49,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,72,66,64,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,64,73,70,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,98,84,86,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,79,83,87,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,70,80,78,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,41,63,62,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,70,78,87,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,50,51,43,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,58,54,55,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,85,75,71,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,81,78,75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,47,50,43,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,58,66,69,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,50,71,61,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,64,66,64,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,43,46,41,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,46,44,42,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,69,69,67,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,46,47,39,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,50,56,53,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,53,67,67,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,51,55,49,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,62,68,69,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,45,61,67,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,71,70,76,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,66,64,60,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,62,63,73,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,41,43,39,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,74,86,81,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,36,33,28,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,92,97,94,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,74,62,61,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,60,61,58,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,87,84,85,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,74,78,67,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,59,75,62,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,69,80,80,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,81,89,90,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,75,78,72,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,64,54,61,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,67,52,55,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,54,59,65,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,67,80,80,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,69,80,86,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,63,66,67,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,39,46,42,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,73,83,89,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,84,93,94,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,61,58,55,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,85,81,78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,80,84,84,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,63,60,54,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,75,78,83,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,64,64,62,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,60,61,53,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,56,70,67,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,52,62,67,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,54,47,47,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
8,65,64,68,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,48,71,76,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,72,65,62,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,41,50,56,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,38,46,46,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,75,83,74,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,61,66,67,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,60,68,64,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,76,87,83,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,82,88,93,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,72,72,61,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,67,69,77,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,89,100,100,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,68,69,68,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,76,76,82,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,58,65,60,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,74,57,58,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,73,71,66,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,75,75,75,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,60,75,79,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,64,68,75,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,95,94,100,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,48,54,56,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,76,66,64,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,58,76,74,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,72,75,79,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,36,52,46,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,84,79,75,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,75,78,80,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,90,84,85,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
9,37,59,50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,72,63,62,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,66,56,56,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,65,51,51,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,62,64,63,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,67,66,58,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,52,45,41,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,63,71,68,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,65,59,61,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,54,45,45,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
